Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Kuna, ID",January 2012,$95K,-13.3%,-10.9%,27,17.4%,-6.9%,39,-17.0%,30.0%,148,9.6%,-15.9%,67,-170,-117,97.4%,-2.8%,-1.3%
,February 2012,$110K,16.2%,13.7%,28,3.7%,16.7%,22,-43.6%,-24.1%,139,-6.1%,-19.7%,107,40,27,98.8%,1.3%,0.2%
,March 2012,$95K,-13.8%,0.0%,29,3.6%,-29.3%,27,22.7%,-10.0%,138,-0.7%,-11.0%,121,14,-69,98.3%,-0.5%,-1.6%
,April 2012,$102K,7.4%,0.0%,41,41.4%,-8.9%,34,25.9%,-2.9%,137,-0.7%,-4.9%,87,-34,-148,99.6%,1.3%,-0.0%
,May 2012,$107K,5.1%,27.0%,24,-41.5%,-22.6%,32,-5.9%,-3.0%,139,1.5%,2.2%,233,146,135,99.0%,-0.6%,-1.3%
,June 2012,$120K,11.8%,36.3%,30,25.0%,-37.5%,38,18.8%,40.7%,147,5.8%,18.5%,69,-164,-35,100.9%,1.9%,1.2%
,July 2012,$121K,1.1%,36.2%,32,6.7%,-3.0%,33,-13.2%,73.7%,157,6.8%,30.8%,24,-45,-97,101.6%,0.7%,3.1%
,August 2012,$142K,17.1%,35.2%,25,-21.9%,-7.4%,33,0.0%,3.1%,161,2.5%,32.0%,137,113,-19,100.7%,-0.9%,1.6%
,September 2012,$119K,-16.5%,31.7%,34,36.0%,3.0%,38,15.2%,58.3%,164,1.9%,47.7%,95,-42,3,101.4%,0.7%,2.5%
,October 2012,$119K,0.4%,15.5%,37,8.8%,12.1%,25,-34.2%,4.2%,165,0.6%,52.8%,75,-20,-27,99.9%,-1.5%,0.9%
,November 2012,$124K,4.2%,16.0%,25,-32.4%,-13.8%,22,-12.0%,-4.3%,162,-1.8%,47.3%,119,44,26,100.4%,0.5%,1.0%
,December 2012,$122K,-1.9%,11.1%,36,44.0%,56.5%,16,-27.3%,-66.0%,139,-14.2%,3.0%,103,-16,-134,100.4%,-0.0%,0.2%
,January 2013,$124K,1.9%,30.6%,10,-72.2%,-63.0%,15,-6.3%,-61.5%,134,-3.6%,-9.5%,86,-17,19,99.6%,-0.8%,2.2%
,February 2013,$130K,4.9%,17.9%,25,150.0%,-10.7%,44,193.3%,100.0%,146,9.0%,5.0%,95,9,-12,100.3%,0.7%,1.5%
,March 2013,$141K,8.5%,48.5%,28,12.0%,-3.4%,34,-22.7%,25.9%,142,-2.7%,2.9%,100,5,-21,99.6%,-0.7%,1.3%
,April 2013,$134K,-5.3%,31.0%,38,35.7%,-7.3%,36,5.9%,5.9%,150,5.6%,9.5%,14,-86,-73,99.3%,-0.4%,-0.3%
,May 2013,$138K,3.4%,28.9%,38,0.0%,58.3%,42,16.7%,31.3%,149,-0.7%,7.2%,31,17,-202,99.0%,-0.2%,0.0%
