Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Meridian, ID",January 2012,$144K,-15.1%,-3.8%,86,-36.3%,-18.1%,132,46.7%,0.0%,628,-0.6%,-36.2%,161,55,1,98.2%,-1.0%,-0.6%
,February 2012,$169K,17.1%,12.6%,111,29.1%,-0.9%,135,2.3%,13.4%,602,-4.1%,-37.2%,163,2,-92,99.0%,0.8%,0.8%
,March 2012,$162K,-4.1%,13.9%,181,63.1%,34.1%,152,12.6%,1.3%,575,-4.5%,-36.7%,127,-36,-41,98.9%,-0.1%,-0.4%
,April 2012,$162K,-0.3%,8.5%,186,2.8%,17.0%,210,38.2%,25.0%,604,5.0%,-31.6%,112,-15,-49,99.5%,0.7%,1.1%
,May 2012,$178K,10.3%,16.5%,188,1.1%,0.0%,180,-14.3%,2.9%,600,-0.7%,-25.5%,112,0,-58,99.5%,-0.1%,0.5%
,June 2012,$177K,-0.4%,9.4%,186,-1.1%,7.5%,195,8.3%,34.5%,614,2.3%,-21.4%,80,-32,-30,100.0%,0.5%,0.9%
,July 2012,$185K,4.3%,11.8%,189,1.6%,18.9%,183,-6.2%,9.6%,611,-0.5%,-16.2%,70,-10,-53,100.2%,0.2%,0.3%
,August 2012,$184K,-0.6%,12.1%,204,7.9%,18.6%,190,3.8%,32.9%,630,3.1%,-8.7%,71,1,-30,99.3%,-0.8%,0.4%
,September 2012,$190K,3.3%,26.6%,160,-21.6%,-12.6%,159,-16.3%,17.8%,638,1.3%,-5.3%,67,-4,-20,99.8%,0.5%,0.8%
,October 2012,$183K,-3.7%,18.5%,175,9.4%,11.5%,137,-13.8%,7.0%,630,-1.3%,-3.1%,81,14,-46,99.7%,-0.1%,1.5%
,November 2012,$187K,2.2%,20.6%,156,-10.9%,2.0%,129,-5.8%,29.0%,640,1.6%,0.6%,76,-5,-18,99.7%,0.0%,1.3%
,December 2012,$198K,5.9%,16.5%,129,-17.3%,-4.4%,77,-40.3%,-14.4%,617,-3.6%,-2.4%,106,30,0,99.4%,-0.4%,0.2%
,January 2013,$185K,-6.6%,28.2%,103,-20.2%,19.8%,143,85.7%,8.3%,636,3.1%,1.3%,79,-27,-82,99.3%,-0.1%,1.1%
,February 2013,$193K,4.6%,14.6%,154,49.5%,38.7%,143,0.0%,5.9%,616,-3.1%,2.3%,89,10,-74,99.3%,0.0%,0.4%
,March 2013,$195K,1.0%,20.7%,158,2.6%,-12.7%,221,54.5%,45.4%,658,6.8%,14.4%,112,23,-15,100.1%,0.8%,1.3%
,April 2013,$195K,-0.2%,20.7%,203,28.5%,9.1%,227,2.7%,8.1%,635,-3.5%,5.1%,108,-4,-4,99.9%,-0.2%,0.4%
,May 2013,$199K,2.0%,11.6%,222,9.4%,18.1%,236,4.0%,31.1%,629,-0.9%,4.8%,46,-62,-66,99.6%,-0.4%,0.1%
,June 2013,$215K,8.1%,21.2%,263,18.5%,41.4%,240,1.7%,23.1%,653,3.8%,6.4%,46,0,-34,99.9%,0.3%,-0.1%
,July 2013,$210K,-2.3%,13.5%,234,-11.0%,23.8%,239,-0.4%,30.6%,674,3.2%,10.3%,41,-5,-29,99.9%,0.0%,-0.3%
,August 2013,$215K,2.4%,17.0%,241,3.0%,18.1%,203,-15.1%,6.8%,702,4.2%,11.4%,43,2,-28,99.2%,-0.7%,-0.1%
,September 2013,$199K,-7.5%,4.7%,185,-23.2%,15.6%,168,-17.2%,5.7%,718,2.3%,12.5%,53,10,-14,99.4%,0.2%,-0.4%
,October 2013,$240K,20.9%,31.5%,152,-17.8%,-13.1%,178,6.0%,29.9%,741,3.2%,17.6%,61,8,-20,99.2%,-0.2%,-0.6%
,November 2013,$208K,-13.5%,11.2%,156,2.6%,0.0%,138,-22.5%,7.0%,748,0.9%,16.9%,82,21,6,99.1%,-0.0%,-0.6%
,December 2013,$205K,-1.4%,3.5%,145,-7.1%,12.4%,86,-37.7%,11.7%,728,-2.7%,18.0%,86,4,-20,99.0%,-0.1%,-0.4%
,January 2014,$216K,5.6%,17.0%,117,-19.3%,13.6%,136,58.1%,-4.9%,736,1.1%,15.7%,102,16,23,99.1%,0.1%,-0.2%
,February 2014,$204K,-5.5%,5.7%,112,-4.3%,-27.3%,151,11.0%,5.6%,767,4.2%,24.5%,111,9,22,98.5%,-0.6%,-0.8%
,March 2014,$216K,5.6%,10.4%,141,25.9%,-10.8%,180,19.2%,-18.6%,778,1.4%,18.2%,109,-2,-3,99.4%,0.9%,-0.7%
,April 2014,$218K,1.1%,12.0%,176,24.8%,-13.3%,234,30.0%,3.1%,821,5.5%,29.3%,123,14,15,99.0%,-0.4%,-1.0%
,May 2014,$220K,0.7%,10.5%,187,6.3%,-15.8%,271,15.8%,14.8%,895,9.0%,42.3%,54,-69,8,99.2%,0.2%,-0.4%
,June 2014,$228K,3.5%,5.8%,201,7.5%,-23.6%,216,-20.3%,-10.0%,902,0.8%,38.1%,60,6,14,99.3%,0.2%,-0.5%
,July 2014,$230K,1.1%,9.5%,212,5.5%,-9.4%,211,-2.3%,-11.7%,891,-1.2%,32.2%,59,-1,18,99.3%,-0.1%,-0.6%
,August 2014,$225K,-2.2%,4.7%,197,-7.1%,-18.3%,214,1.4%,5.4%,895,0.4%,27.5%,63,4,20,99.4%,0.1%,0.2%
,September 2014,$200K,-11.1%,0.6%,179,-9.1%,-3.2%,193,-9.8%,14.9%,930,3.9%,29.5%,59,-4,6,98.8%,-0.6%,-0.6%
,October 2014,$214K,6.8%,-11.2%,172,-3.9%,13.2%,174,-9.8%,-2.2%,909,-2.3%,22.7%,83,24,22,98.9%,0.1%,-0.3%
,November 2014,$219K,2.7%,5.4%,112,-34.9%,-28.2%,129,-25.9%,-6.5%,897,-1.3%,19.9%,109,26,27,99.0%,0.1%,-0.1%
,December 2014,$222K,1.3%,8.3%,135,20.5%,-6.9%,108,-16.3%,25.6%,907,1.1%,24.6%,86,-23,0,98.7%,-0.3%,-0.2%
,January 2015,$248K,11.9%,14.8%,110,-18.5%,-6.0%,156,44.4%,14.7%,893,-1.5%,21.3%,78,-8,-24,99.1%,0.4%,0.0%
,February 2015,$219K,-12.0%,7.0%,144,30.9%,28.6%,168,7.7%,11.3%,878,-1.7%,14.5%,86,8,-25,99.4%,0.2%,0.9%
,March 2015,$226K,3.4%,4.8%,189,31.3%,34.0%,256,52.4%,42.2%,921,4.9%,18.4%,119,33,10,99.3%,-0.1%,-0.2%
,April 2015,$210K,-7.2%,-3.8%,210,11.1%,19.3%,264,3.1%,12.8%,907,-1.5%,10.5%,55,-64,-68,99.5%,0.3%,0.5%
,May 2015,$235K,12.1%,7.1%,224,6.7%,19.8%,274,3.8%,1.1%,899,-0.9%,0.4%,64,9,10,99.1%,-0.4%,-0.1%
,June 2015,$227K,-3.5%,-0.1%,266,18.8%,32.3%,270,-1.5%,25.0%,885,-1.6%,-1.9%,40,-24,-20,99.5%,0.4%,0.1%
,July 2015,$245K,7.8%,6.5%,287,7.9%,35.4%,251,-7.0%,19.0%,876,-1.0%,-1.7%,48,8,-11,99.4%,-0.0%,0.2%
,August 2015,$250K,2.0%,11.1%,201,-30.0%,2.0%,247,-1.6%,15.4%,866,-1.1%,-3.2%,62,14,-1,99.4%,-0.0%,0.0%
,September 2015,$245K,-2.0%,22.5%,236,17.4%,31.8%,191,-22.7%,-1.0%,831,-4.0%,-10.6%,56,-6,-3,99.3%,-0.1%,0.5%
,October 2015,$228K,-7.0%,6.7%,213,-9.7%,23.8%,206,7.9%,18.4%,809,-2.6%,-11.0%,50,-6,-33,99.2%,-0.1%,0.3%
,November 2015,$260K,14.0%,18.6%,155,-27.2%,38.4%,172,-16.5%,33.3%,805,-0.5%,-10.3%,56,6,-53,99.7%,0.5%,0.6%
,December 2015,$241K,-7.5%,8.3%,210,35.5%,55.6%,138,-19.8%,27.8%,789,-2.0%,-13.0%,91,35,5,99.8%,0.1%,1.0%
,January 2016,$246K,2.2%,-1.0%,125,-40.5%,13.6%,129,-6.5%,-17.3%,774,-1.9%,-13.3%,80,-11,2,99.1%,-0.6%,-0.0%
,February 2016,$236K,-3.9%,8.0%,164,31.2%,13.9%,217,68.2%,29.2%,777,0.4%,-11.5%,119,39,33,99.4%,0.3%,0.0%
,March 2016,$250K,5.8%,10.5%,209,27.4%,10.6%,247,13.8%,-3.5%,750,-3.5%,-18.6%,115,-4,-4,100.1%,0.7%,0.8%
,April 2016,$248K,-0.9%,17.9%,257,23.0%,22.4%,329,33.2%,24.6%,763,1.7%,-15.9%,60,-55,5,100.0%,-0.1%,0.5%
,May 2016,$249K,0.6%,5.8%,296,15.2%,32.1%,327,-0.6%,19.3%,782,2.5%,-13.0%,35,-25,-29,100.2%,0.2%,1.2%
,June 2016,$246K,-1.5%,8.0%,312,5.4%,17.3%,323,-1.2%,19.6%,807,3.2%,-8.8%,29,-6,-11,99.9%,-0.3%,0.4%
,July 2016,$248K,1.2%,1.4%,272,-12.8%,-5.2%,277,-14.2%,10.4%,836,3.6%,-4.6%,25,-4,-23,99.8%,-0.1%,0.3%
,August 2016,$259K,4.2%,3.6%,303,11.4%,50.7%,290,4.7%,17.4%,813,-2.8%,-6.1%,35,10,-27,99.9%,0.2%,0.5%
,September 2016,$260K,0.3%,6.1%,298,-1.7%,26.3%,302,4.1%,58.1%,875,7.6%,5.3%,41,6,-15,99.7%,-0.2%,0.3%
,October 2016,$265K,1.8%,16.1%,277,-7.0%,30.0%,228,-24.5%,10.7%,856,-2.2%,5.8%,46,5,-4,99.5%,-0.1%,0.3%
,November 2016,$260K,-1.8%,0.0%,224,-19.1%,44.5%,215,-5.7%,25.0%,857,0.1%,6.5%,54,8,-2,100.0%,0.5%,0.4%
,December 2016,$254K,-2.4%,5.5%,254,13.4%,21.0%,110,-48.8%,-20.3%,785,-8.4%,-0.5%,62,8,-29,99.8%,-0.3%,-0.0%
,January 2017,$251K,-1.3%,1.9%,139,-45.3%,11.2%,137,24.5%,6.2%,762,-2.9%,-1.6%,74,12,-6,99.0%,-0.8%,-0.2%
,February 2017,$269K,7.4%,13.9%,165,18.7%,0.6%,181,32.1%,-16.6%,757,-0.7%,-2.6%,77,3,-42,100.0%,1.0%,0.6%
,March 2017,$267K,-0.7%,7.0%,264,60.0%,26.3%,271,49.7%,9.7%,726,-4.1%,-3.2%,98,21,-17,100.0%,0.1%,-0.0%
,April 2017,$265K,-0.9%,7.0%,235,-11.0%,-8.6%,297,9.6%,-9.7%,706,-2.8%,-7.5%,42,-56,-18,99.9%,-0.2%,-0.1%
,May 2017,$271K,2.3%,8.8%,281,19.6%,-5.1%,320,7.7%,-2.1%,704,-0.3%,-10.0%,30,-12,-5,100.0%,0.1%,-0.3%
,June 2017,$279K,2.8%,13.4%,342,21.7%,9.6%,307,-4.1%,-5.0%,694,-1.4%,-14.0%,28,-2,-1,100.1%,0.2%,0.2%
,July 2017,$284K,2.1%,14.4%,282,-17.5%,3.7%,280,-8.8%,1.1%,681,-1.9%,-18.5%,29,1,4,99.8%,-0.4%,-0.0%
,August 2017,$276K,-2.9%,6.6%,338,19.9%,11.6%,294,5.0%,1.4%,662,-2.8%,-18.6%,38,9,3,99.8%,0.0%,-0.1%
,September 2017,$276K,0.1%,6.3%,292,-13.6%,-2.0%,274,-6.8%,-9.3%,674,1.8%,-23.0%,29,-9,-12,99.8%,0.0%,0.1%
,October 2017,$286K,3.5%,8.1%,236,-19.2%,-14.8%,237,-13.5%,3.9%,661,-1.9%,-22.8%,35,6,-11,99.9%,0.1%,0.3%
,November 2017,$295K,3.1%,13.5%,228,-3.4%,1.8%,185,-21.9%,-14.0%,648,-2.0%,-24.4%,40,5,-14,99.6%,-0.2%,-0.4%
,December 2017,$285K,-3.2%,12.5%,228,0.0%,-10.2%,155,-16.2%,40.9%,648,0.0%,-17.5%,46,6,-16,99.7%,0.1%,-0.1%
,January 2018,$290K,1.4%,15.6%,170,-25.4%,22.3%,167,7.7%,21.9%,633,-2.3%,-16.9%,49,3,-25,99.3%,-0.4%,0.3%
,February 2018,$304K,5.1%,13.1%,188,10.6%,13.9%,220,31.7%,21.5%,629,-0.6%,-16.9%,62,13,-15,100.1%,0.7%,0.1%
